date,predicted_sales,lower_bound,upper_bound
2024-01-01,2020.530605239285,1717.4510144533922,2323.6101960251776
2024-01-02,2338.897459345635,1988.0628404437898,2689.7320782474803
2024-01-03,1750.463865852561,1487.8942859746767,2013.033445730445
2024-01-04,1936.3216543619048,1645.8734062076192,2226.7699025161905
2024-01-05,1956.72132223254,1663.213123897659,2250.229520567421
2024-01-06,2241.5790612203446,1905.3422020372927,2577.815920403396
2024-01-07,2592.4294815071426,2203.565059281071,2981.2939037332135
2024-01-08,2181.208963787194,1854.027619219115,2508.390308355273
2024-01-09,2027.9548870889948,1723.7616540256456,2332.148120152344
2024-01-10,2155.2723877186518,1831.981529560854,2478.5632458764494
2024-01-11,2179.012649467064,1852.1607520470043,2505.864546887123
2024-01-12,2028.9684605713203,1724.623191485622,2333.313729657018
2024-01-13,2097.5114900603876,1782.8847665513294,2412.1382135694457
2024-01-14,2297.6735035652937,1953.0224780304995,2642.3245291000876
2024-01-15,2088.9192428453434,1775.5813564185419,2402.2571292721445
2024-01-16,2074.652541054762,1763.4546598965476,2385.850422212976
2024-01-17,2110.714231472039,1794.107096751233,2427.321366192845
2024-01-18,1985.8189001973278,1687.9460651677286,2283.691735226927
2024-01-19,2063.915268874495,1754.3279785433206,2373.502559205669
2024-01-20,2574.74320722323,2188.5317261397454,2960.954688306714
2024-01-21,2281.2510362945513,1939.0633808503685,2623.4386917387337
2024-01-22,2078.6364975937563,1766.8410229546928,2390.4319722328196
2024-01-23,2155.510502960135,1832.1839275161146,2478.837078404155
2024-01-24,2123.330796299817,1804.8311768548444,2441.830415744789
2024-01-25,2061.9859215875554,1752.688033349422,2371.2838098256884
2024-01-26,2063.4158524076092,1753.9034745464678,2372.92823026875
2024-01-27,2174.5520567394997,1848.3692482285746,2500.7348652504243
2024-01-28,2279.4825927775964,1937.560203860957,2621.4049816942356
2024-01-29,2079.823235998518,1767.8497505987405,2391.7967213982956
2024-01-30,2331.353718362516,1981.6506606081384,2681.056776116893
